top_topic,sub_topic_1,sub_topic_2,sub_topic_3,sub_topic_4,question
Trust,Secure,Organizational Security,Authorization,"Think about what users can access in terms of personas, not individuals. Thinking of authorization (or security in general) in terms of individual users will not set your system up to scale and evolve. A better approach is to design for and manage personas that represent groups of users. It�s important to recognize that Salesforce solutions architected to be secure use individuals for authentication, but personas for authorization. As you build your security model, specify the security configuration appropriate to each security persona. Determining access (and privileges) based on personas gives you the ability to control access at a granular level, and reduces the amount of refactoring involved in maintaining your system over time. Include the security personas you define in your design standards and documentation.",Do user personas exist for authorization purposes?
Trust,Secure,Organizational Security,Authorization,"Use permission sets and permission set groups to control metadata access for users. Use permission sets and permission set groups to control what metadata users can access and what they can do with that metadata. (To learn more about Salesforce metadata, see Metadata versus Data) Configure app assignments, feature license activations, and managed package access as well as system permissions, CRUDO access, and fieldlevel access via permission sets and permission set groups. Include this access in your design design standards and documentation.",Are permission groups and set groups used to control metadata access for users?
Trust,Secure,Organizational Security,Authorization,"Use OWDs and sharing to control data access for users. Because data and metadata are distinct entities in Salesforce, access controls for data and metadata are also distinct. Use organizationwide defaults (OWDs) and builtin sharing tools to configure access for Salesforce data (individual records, files, and docs). For more details, see Data Security.",Do OWDs and sharing control data access for users?
Trust,Secure,Organizational Security,Authorization,"Use OAuth scopes to control access for connected apps. When you configure a connected app, you can determine what scope, or access permissions, users of the connected app should have to resources in Salesforce. For more about managing OAuth tokens, see Session Management.",Do OAuth scopes control access for connected apps?
Trust,Secure,Organizational Security,Authorization,"Follow the principle of least privilege. The principle of least privilege (PoLP) is an approach to security in which users are assigned the minimal permissions necessary to carry out their work. To follow this principle, structure your permission sets to be granular and modular. This will enable you to create sophisticated access controls with permission set groups and to precisely manage permissions, which can be muted, set to expire, and more. Orient the functional groupings of your system to business capabilities to define granular permissions and effective permission set groups. Remember that permissions apply to metadata access in Salesforce. For details about configuring PoLP for Salesforce data access, see Sharing and Visibility.",Are you following the principle of least privilege?
Trust,Secure,Organizational Security,Authorization,"Minimize use of profiles and migrate any access controls out of profiles. Profiles provide the ability to limit access to login IP ranges, login hours, and specific features tied to the legacy Salesforce Classic user interface (specifically default record types and page layout assignments). Any functionality not directly tied to these features should be migrated to equivalent functionality in permission sets and permission set groups. Functionality in your profiles tied to Salesforce Classic UI features should be targeted for remediation.",Are access controls migrated from profiles and profiles minimized?
Trust,Secure,Session Security,Session Management,"Sessions enable Salesforce to associate requests and responses with users. After a user is authenticated, the platform sends a session ID back to the client app. The client app includes this ID with any user requests (such as navigating, searching, and submitting data).",Do sessions enable Salesforce to associate requests and responses with users in the form of session IDs?
Trust,Secure,Session Security,Session Management,"Tokens enable users and connected applications to verify their identity once and use a unique access token from then on. Tokens have a limited lifespan and only provide access to specific resources (see Authorization for more about configuring access levels). Tokens allow access to authorized resources without requiring users to login.
",Do tokens enable users and connect applications to verify their identity?
Trust,Secure,Session Security,Session Management,Understand how Salesforce classifies session types. Identify and map approved session types. Secure user personas and record these in your documentation.,Are session types identified and mapapproved and user personas secured and recorded?
Trust,Secure,Session Security,Session Management,"Control how sessions can originate and where session traffic can go. Once you�ve identified the kinds of sessions various user personas are allowed to initiate, configure controls to block sessions that originate from unapproved sources or contexts. Salesforce provides several ways to control session origins and traffic, including:","Does salesforce automatically enable orgwide protections for sessionbased malicious activity (crosssite scripting, crosssite request forgery, content sniffing, clickjacking, etc.). Are all protections enabled?."
Trust,Secure,Session Security,Session Management,"Control how sessions can originate and where session traffic can go. Once you�ve identified the kinds of sessions various user personas are allowed to initiate, configure controls to block sessions that originate from unapproved sources or contexts. Salesforce provides several ways to control session origins and traffic, including:","Have you checked Domains and IP ranges? All Salesforce orgs have My Domain enabled by default, which creates a companyspecific subdomain for Salesforce access. You can customize or change the name associated with an org through My Domain. Further, Salesforce supports additional domain configurations for Experience Cloud sites and other application pages. Note: If your users need to access Salesforce from behind a company firewall, add the required domains to your firewall allowlists. You can set up login IP ranges and trusted IP ranges to control inbound login and session requests to Salesforce."
Trust,Secure,Session Security,Session Management,"Control how sessions can originate and where session traffic can go. Once you�ve identified the kinds of sessions various user personas are allowed to initiate, configure controls to block sessions that originate from unapproved sources or contexts. Salesforce provides several ways to control session origins and traffic, including:","Do Login hours exist? If certain user personas have set working hours, you can restrict their ability to access Salesforce outside of defined login hours."
Trust,Secure,Session Security,Session Management,"Control activities that require added sessionlevel security. By default, sessions can have two kinds of security levels: standard and highassurance. You can use these security levels to control how users can and cannot carry out activities such as accessing reports and dashboards, or managing the security configurations in a Salesforce org. Sessionlevel security policies can require users to establish highassurance sessions to carry out operations or block users from carrying out any sensitive operations at all.",Are activities requiring added sessionlevel security controlled and managed to secure sensitive operations?
Trust,Secure,Session Security,Session Management,Control activities that require added sessionbased permissions. Salesforce supports sessionbased permission activations to temporarily allow users elevated authorization or access to permissions during a particular session. You can activate and deactivate sessionbased permissions via Flow or Salesforce APIs.,Are activities requiring sessionbased permissions controlled via Flow/Salesforce API?
Trust,Secure,Session Security,Session Management,"Manage inactive user sessions through timeouts. Ending inactive sessions is a key part of managing session security. This helps protect your system when, for example, a user leaves a Salesforce session open in a browser tab but is actively working in another application, or when a user�s mobile device is logged into Salesforce, but the user isn�t near their mobile device. Salesforce has a default session inactivity timeout of two hours. You can increase or decrease session inactivity timeout levels. (Avoid increasing timeouts, however, without a compelling and welldocumented reason.)",Are in active user sessions managed through timeouts?
Trust,Secure,Session Security,Session Management,"Manage connected app sessions through token configuration. When you configure a connected app, you also define the scope, or level of authorization, that will be granted to users accessing Salesforce through the connected app. This scope is enforced at the session level through OAuth tokens, which are issued after a user of a connected app successfully authenticates. You can control how long a token should last through token refresh policies. Org administrators can manually revoke tokens on a peruser and perorg basis, if needed.",Are connected app sessions managed through token configuration?
Trust,Secure,Session Security,Device Access,"Use the mobile app solutions provided by Salesforce. Have users on mobile devices who need to access Salesforce use the official Salesforce apps available for iOS and Android. If business needs require a custom mobile solution, you should use the Salesforce Mobile SDK, which provides methods for secure authentication and authorization.",Did you use mobile app solutions designed by Salesforce?
Trust,Secure,Session Security,Device Access,"Design mobile device usage into your session management. Session security levels, session timeouts, and other session context controls should take into account any anticipated access from users on mobile devices. Consider what devices should and should not be allowed to access Salesforce, and what kinds of users should have access to mobile sessions. Include mobile access standards in your security persona documentation. For more on this topic, see Session Management.",Is mobile device usage designed during session management?
Trust,Secure,Session Security,Device Access,Supplement devicelevel security with Mobile Device Management (MDM) technology. The Salesforce apps for iOS and Android are compatible with many popular MDM suites. You can configure additional access controls for the Salesforce app on user devices through your preferred MDM solution.,Is devicelevel security supplimented through MDM technology?
Trust,Secure,Session Security,Device Access,Supplement applevel security with Mobile Application Management (MAM) technology. MAM technology supports applevel controls on mobile devices. Salesforce offers a paid MAM addon for Salesforce mobile apps.,Is applevel security supplimented through MAM technology?
Trust,Secure,Session Security,Threat Detection and Response,"Use builtin audit capabilities. Salesforce offers a variety of builtin tools to help track and audit changes to your org. For example, you can view the audit history for administrative actions taken in an org through the Setup Audit Trail. Salesforce tracks fieldlevel changes for a limited period of time by default � but you can activate Field History Tracking to retain an audit history for fieldlevel changes indefinitely (until you manually delete the field history data).
",Are builtin audit capabilities utilized?
Trust,Secure,Session Security,Threat Detection and Response,"Establish regular audit reviews. Auditing is a key part of detecting anomalous changes that may not be picked up as a realtime threat. Consider, for example, a user with legitimate access who deletes a small number of records every day for an extended period. Because this user has valid login credentials, has proper authorization to delete records, and is not deleting many records all at once, the activity isn�t likely to be detected as a threat in real time. For an audit team reviewing a report of user activities, however, the trend of a single user deleting an excessive number of records over time would be clearer to see and easier to respond to. As part of your governance policies, establish regular intervals for auditing login history, user session activity, and connected app usage.",Are regular audit reviews established?
Trust,Secure,Session Security,Threat Detection and Response,Develop a threat response strategy and include it in your security policies. Create a threat response strategy that covers:,"Threat response type definitions (for example, alerts and automations) and any stakeholder groups that should be involved (For more on designing messages or alerts, see Errors and Notifications.)"
Trust,Secure,Session Security,Threat Detection and Response,Develop a threat response strategy and include it in your security policies. Create a threat response strategy that covers:,Specific categories for realtime changes or activities that could be considered threats and the associated response type for each
Trust,Secure,Session Security,Threat Detection and Response,Develop a threat response strategy and include it in your security policies. Create a threat response strategy that covers:,"A clear list of all automated threat responses (such as revoking tokens, ending sessions, deactivating user accounts, or blocking access to resources) and automation triggers"
Trust,Secure,Data Security,Sharing and Visibility,"Design access around meaningful job functions. Create a security matrix that maps your user personas to business functions they are to perform. Use this template as a foundation to design your sharing and visibility. For more on identifying meaningful business functions, see Orient to Business Capability.
",Is access designed around meaningful job functions (security matrix)?
Trust,Secure,Data Security,Sharing and Visibility,"Choose the simplest path to applying the principle of least privilege. As you apply the principle of least privilege in designing sharing and visibility schemes, do so in the most straightforward way. Avoid overengineered data restrictions and sharing schemes, which can cause downstream issues for system maintainability, scalability, and adaptability. Instead, take advantage of the flexible, layered data sharing in Salesforce, which enables you to configure finegrained rules for user access at the data level.","Have you applied the principle of least privilege in designing sharing and visibility schemes, do so in the most straightforward way?"
Trust,Secure,Data Security,Sharing and Visibility,"Set internal organizationwide defaults (OWDs) to Public Read Only, unless your business deals with sensitive data � then use Private. OWDs control the level of �least� privilege users will have at the data level. You cannot restrict access below the level of your OWD. For this reason, it may seem like choosing an OWD of Private is the optimal approach in every use case. However, in practice, users across the business can often end up inadvertently replicating a more permissive OWD through complex sharing schemes. Additionally, Private OWDs can cause users to create duplicate data. Sharing calculations (and recalculations) may take a significant amount of time to complete depending on data volume and parentchild or ownership skew � Private OWDs exacerbate this. CRUD permissions and fieldlevel visibility aren�t actually controlled by OWDs. Only choose an OWD of Private when it is justified by business needs � most often, such justifications will be related to compliance.",Are internal organizationwide defaults (OWDs) set to Public Read Only for public data or Private for sensitive data.
Trust,Secure,Data Security,Sharing and Visibility,"Set external organizationwide defaults (OWDs) to Private, unless you have a compelling business reason to allow greater access. External OWDs apply to users accessing Salesforce data from Experience Cloud sites, portals, and so on. Using External OWDs enables you to configure separate OWD baselines for internal and external users, to allow for differing types of �least� privilege. Always set the OWD for external users to Private � exceptions for a more open level must be clearly justified by business needs.",Are external defaults set to private?
Trust,Secure,Data Security,Encryption,"Always adequately encrypt data in transit. Salesforce employs Transport Layer Security (TLS) for all sessions that take place in a Salesforcesupported browser, and requires that outbound calls using HTTPS meet specific security standards. Platform APIs also employ HTTPS by default. Additionally, data sent between a Salesforce Experience Cloud site or a portal and its related Salesforce org is encrypted in transit by default. If you use Salesforce�s builtin email services, there are default levels for the Transport Layer Security (TLS) Salesforce uses to send and attempt delivery of email. You should, at a minimum, ensure the org settings are not lower than the default settings, unless you have clear business justification.",Is data adequately encrypted in transit?
Trust,Secure,Data Security,Encryption,"If the business requires it, encrypt data at rest. Salesforce offers different ways to encrypt data at rest.
",Is data encrypted at rest in orgs that use Hyperforce. Encryption is managed for your org by Salesforce? You cannot create (or destroy) your own encryption keys.
Trust,Secure,Data Security,Encryption,"If the business requires it, encrypt data at rest. Salesforce offers different ways to encrypt data at rest.
","Does Salesforce Shield enable you to encrypt data at rest in a Salesforce org and create and destroy your own encryption keys? You can also encrypt unstructured data (including files, attachments, search indexes, and events)."
Trust,Compliant,Legal Adherence,Data Privacy,"Consult regulatory experts. Work with your legal team or a thirdparty auditor to evaluate the industryspecific compliance regulations that your business must adhere to, such as the Health Insurance Portability and Accountability Act(HIPAA) for healthcare companies.",Have regulatory experts been consulted?
Trust,Compliant,Legal Adherence,Data Privacy,"Classify your data. Data classification helps project teams understand when the various data elements in your org may or may not be used. It also gives your business the ability to report on data management policy compliance. Classify the data in your org by specifying applicable regulations at the field level to capture who the owner is, the sensitivity level, and whether or not the field is currently in use.",Has all data been classified?
Trust,Compliant,Legal Adherence,Data Privacy,"Establish best practices for data governance. Ensure that all relevant documentation is complete, uptodate, and centrally stored so it�s easily available for all stakeholders. This will add a layer of protection for your organization against legal liability while also maintaining trust with your customers and partners. For example, a data dictionary documents the object and fieldlevel definitions and classifications for all data elements that will be stored in your system, design documents contain details about any automations you�ve created to comply with regulations, and a security matrix outlines what data users have access to.",Are there established best pratices for data governance?
Trust,Compliant,Legal Adherence,Localization,"Consult regulatory experts. Work with your legal team or a thirdparty auditor to evaluate laws in the regions where your business operates to determine which ones are applicable. Potential examples include the General Data Protection Regulation (GDPR) in the EU, or the California Consumer Privacy Act (CCPA) in the state of California.
",Have regulatory experts been consulted?
Trust,Compliant,Legal Adherence,Localization,"Store data locally. Ensure that data relevant to a specific region stays in its own, separate org. Use Hyperforce, Salesforce�s public cloud substrate to host your org in a specific region.",Is data stored locally?
Trust,Compliant,Legal Adherence,Localization,"Avoid data replication. Local data storage means that data is stored at rest in the country; of course, compliance issues can arise when data is transferred out of the country through standard interfaces. For example, creating and maintaining records locally but replicating them to a data warehouse in another country for reporting will violate data residency laws. If you work for a global business with crossregional reporting requirements, first aggregate your data within the country where it�s stored, remove all information that could potentially identify the citizens associated with it, and then replicate only the aggregate information. This approach may require you to communicate reporting limitations to your stakeholders so that they know that while more granular data will be available at a country or regional level, only summary data will be available globally.",Is any data being replicated?
Trust,Compliant,Ethical Standards,Company Policies,"Be aware of unintended consequences. As an architect, you have a responsibility to understand how your solutions will be used and their potential impacts. Don�t fall into the trap of only considering or testing for happy paths. Apply the expertise you�d use in testing edge cases and evaluating tradeoffs to think through the ethical impacts of your solutions. Think about everyone that will be affected by the product, especially those who are underrepresented, marginalized, or vulnerable. Evaluate the multitude of ways someone, or something, might interact with your solution and create unintended consequences. Use the Build With Intention Toolkit to design with inclusion in mind.
",Have you considered the unintended consequences?
Trust,Compliant,Ethical Standards,Company Policies,"Embed ethics into your company's acceptable use policy. Work with your legal team or a thirdparty to include ethics in your acceptable use policy to ensure the use of your solutions aligns with your company values. In your documentation, include information about which of your organization�s values and policies are supported by your solutions, whether developed with lowcode or procode tools. Publish your acceptable use policy to show your commitment to building trust with your employees and customers.
",Does your company's acceptable use policy outline a clear ethical structure?
Trust,Compliant,Ethical Standards,Company Policies,"Use inclusive language. Understand the different ways people experience your solution and refine the language in your user interface, in your code, and in your documentation to more accurately reflect inclusivity. You can start by identifying and removing exclusive language first and then commit to understanding the types of habits or practices that can lead to exclusion.
",Does your utilize inclusive language?
Trust,Compliant,Ethical Standards,Artificial Intelegence,Examine your datasets. Ensure that your datasets are representative of everyone your AI functionality will impact. This may require you to research your users to understand who they are and determine whether or not your data accurately represents them all in order to mitigate any potential biases.,Have datasets been examined?
Trust,Compliant,Ethical Standards,Artificial Intelegence,"Increase prediction model transparency. Some tools, such as prediction builder and recommendation builder, enable you to design models that drive the types of predictions or recommendations the system will make. These tools offer the option to segment your dataset if you only want the system to analyze a subset of your data. This helps to improve accuracy but also makes it possible to introduce bias into the data you�re asking the system to analyze. Document your models thoroughly and use the features available within tools like Einstein Discovery to detect and remove bias from your models. Lastly, ask your organization�s legal team or a thirdparty auditor to review your models prior to implementing them in your production environment.",Are prediction models transparent?
Trust,Compliant,Ethical Standards,Artificial Intelegence,"Design chatbot conversations with care. Chatbots enable you to design the messages your system can send to your external users as well as the overall flow of the conversation. If designed carelessly, a chatbot may use exclusive or offensive language that will reflect poorly on your business. Review the guidelines outlined in Conversation Design Best Practices. Include them in your design standards along with any additional guidelines that align to your organization�s values and ethics. Document your chatbot logic along with all message text, and ask your legal team or a thirdparty auditor to review it.
",Have Chatbox coversations been designed with care?
Trust,Compliant,Ethical Standards,Artificial Intelegence,"Be prepared for regulations. In addition to ethical concerns with AI, many governments have also passed or are in the process of passing legislation that regulates the use of AI by organizations that operate within their jurisdictions. This legislation can include the requirement to publish model cards that describe how an AI solution was created and works. Before you implement an artificial intelligencebased solution, be aware of what type of AIrelated functionality is or isn�t acceptable in the regions where your systems will be used and make any necessary adjustments to your strategy. You may find that you have to disable certain features in some regions to comply with local regulations; if so, ensure that your systems can continue to operate without those features.",Are you prepared for regulations?
Trust,Compliant,Ethical Standards,Artificial Intelegence,"Monitor your organization�s AI models. Impacted users should know when an AI has been used and have the opportunity to easily report harm and request remediation. It�s important to note that reporting alone may not be sufficient to determine if your AI functionality is causing harm to a user or group of users. Continually monitor your models for data drift, changes in fairness/bias scores, accuracy, and robustness. Make sure that you have plans in place to handle quality alerts and respond quickly when negative impacts are identified.",Are AI models monitered?
Trust,Compliant,Accessibility,Data Entry,"The language your users prefer. Depending on where your business operates, you may decide to set a single, standard language for your systems or you may want to offer multilingual capabilities. If you want to display text in more than one language, maintain in your design standards a list of field labels and other UI elements, such as notifications and error messages with text that needs to be translated, and ask a native speaker to review the translations to ensure that they make sense. Use Salesforce translation features to power your metadata and data translations in real time, and be sure to test any multilingual features thoroughly.",What language do users prefer?
Trust,Compliant,Accessibility,Data Entry,The types of input devices that will be used. List any tools that may be used for data input beyond a standard keyboard and mouse in your design standards. Include accessibility testing in your test plans and make sure all inputs are tested with multiple types of input devices.,What input devices will be used?
Trust,Compliant,Accessibility,Data Entry,"The usability of your forms. Ensure your forms include visible labels, provide helpful error messages, guide the user toward completion, inform the user of their progress, and let them review, confirm, and edit their inputs.",Are forms usable?
Trust,Compliant,Accessibility,Navigation,How will users navigate your solution? List any devices that may be used for navigation beyond a standard keyboard and mouse in your design standards.,How will users navigate your solution?
Trust,Compliant,Accessibility,Navigation,"Is your navigation consistent? Include standards for navigation controls in your design standards to ensure consistency across your entire system. Navigation paths should be similar throughout your entire system. Having a blue Next button in the bottom right corner of one screen and a green Next button in the center of the following screen might be a mild annoyance for users who don�t have disabilities, but it can make your application impossible to navigate for users who do.",Is your navigation consistent
Trust,Compliant,Accessibility,Navigation,Do your tests account for accessibility? Include accessibility testing in your test plans and make sure all navigation flows are tested with multiple types of input devices.,Do your tests account for accessibility?
Trust,Compliant,Accessibility,Navigation,Is the keyboard focus consistently visible? Always visually display the current state of keyboard focus so users who rely on a keyboard to navigate know where it is.,Is the keyboard focus consistently visible?
Trust,Compliant,Accessibility,Navigation,"Does your navigation rely on color? Avoid using color alone to present information or to request an action. Ensure you are following the Web Content Accessibility Guidelines (WCAG) 2.0 for proper use of color as meaning, and apply the right level of contrast.",Does your navigation rely on color?
Trust,Compliant,Accessibility,Navigation,Have your designs been reviewed? Conduct regular reviews to ensure that your user interface is consistent and easy to comprehend.,Have your designs been reviewed?
Trust,Reliable,Availability,Risk Assessment,"Use a risk assessment framework. Some large enterprises may already have relevant risk matrices in place to assist you in structuring how hazards are to be classified, what kinds of information you need to gather, what you need to put in place for remediation, and more. If you don�t already have a risk assessment framework, find one from a reputable source and use it.",Is there a riskassessment framework in place?
Trust,Reliable,Availability,Risk Assessment,"Assess impact severity and risk categories using the perspective of your customers. Customer trust and perception are key to every business. In terms of business impact, risks that reach customers will most likely outweigh risks that don�t. Customers may not think about or perceive risks in the same way as internal teams. If a customer can�t log in to their account, they are unlikely to care about the root cause. They care most about their own, immediate experience.",Have impact severity and risk categories been assessed through the lens of user personas?
Trust,Reliable,Availability,Risk Assessment,"Prioritize your risks. Ideally, every risk will be linked to a solid mitigation and response plan. In reality, you will have gaps that you need to address over time. This is where adopting a �deliver value early and iterate� approach is important. You and your delivery and maintenance teams can only address so much work at a given time. At Salesforce, a common expression is: If everything is important, nothing is important. We use V2MOMs to prioritize and focus work across the entire company, throughout teams, and even down to the level of each individual. (You can learn more about V2MOMs on Trailhead.) Use your risk assessments as a chance to work with stakeholders on prioritizing and committing to the most important work to be done.",Have risks been prioritized by mitigation and response plans?
Trust,Reliable,Availability,Failure Mitigation,"Classify triggers in terms of people, process, and technology. As you categorize risks in terms of people, process, and technology, apply this same thinking to how high-priority failure points could be triggered. This approach will help with both identifying potential failure triggers, and organizing how you develop responses. Seemingly divergent failure triggers have similar mitigation approaches, based on their trigger classification.",Have triggers been classified to identify potential failure triggers and organize responses?
Trust,Reliable,Availability,Failure Mitigation,"Identify what basic, intermediate, and mature mitigation look like. It will take time to build out mitigation strategies. Defining different levels will help you and your team see where you can put controls in place immediately, and how to focus your efforts over time. Always look for opportunities to use automation in your mitigation approaches � as early as is feasible. To illustrate what this looks like in practice, the following example shows a people-oriented trigger, and what policy-based mitigation looks like at basic, intermediate, and mature levels.","What do basic, intermediate, and mature mitigation look like?"
Trust,Reliable,Performance,Throughput Optimization,"Favor asynchronous processing. The Salesforce Platform uses transaction contexts to control for data integrity and limit the potential for runaway code to dominate compute resources. (For more on this topic, see transactions in Architecture Basics.) For this reason, using asynchronous (async) processing where possible can help minimize potential bottlenecks in synchronous execution contexts. (For more on designing transactions, see transaction handling.) Using async compute is not a cure for every kind of performance issue, and you�ll need to take latency into consideration when incorporating async processes. Certain platform capabilities, such as queueable Apex, may increase latency during traffic spikes because messages wait longer in a queue. Depending on the use case, you may decide to tolerate a potential decrease in responsiveness, in order to maintain (or improve) throughput. In other cases, increased latency may not be acceptable.",
Trust,Reliable,Performance,Throughput Optimization,"Always use bulkification. Bulkification, at a high level, means carrying out operations against collections. Often, discussions of bulkification for Salesforce focus on streamlining data operations against collections. (For more on this, see Planning for Scale). However, bulkification at a system level involves more than just data operations. Tasks like callouts or complex computations should also be considered candidates for bulkification. A principal benefit of proper bulkification is that it reduces overhead by enabling multiple operations to be executed with one request, rather than executing a single request per operation. (For more on this topic, see Bulk Operations).",Are operations bulkified (streamlined against collections with callouts/computations)?
Trust,Reliable,Performance,Throughput Optimization,"Use SOSL for searches and treat SOQL like a data operation. It may seem obvious that using overly complex SOQL statements will increase the amount of time it takes the system to retrieve records. Less obvious, however, is the fact that even using SOQL adds overhead to the underlying relational database that slows down processing. Especially if using text or wildcard criteria, locating records via SOSL will be more performant and efficient because it uses the platform�s search engine, which is optimized for full-text indexing and universal searches. To optimize record retrieval patterns, ensure your design standards specify when to use SOSL to find data in your system, and how to use SOQL for efficient data operations. (For more on this, see Planning for Scale).",Is your environment optimized for skilltesting?
Trust,Reliable,Performance,Throughput Optimization,Use Platform Cache. The Lightning Platform Cache layer provides faster performance and better reliability when caching Salesforce session and org data. Platform Cache improves performance by distributing cache space so that some applications or operations don�t steal capacity from others.,Has Lightning Platform Cache been utilized for faster performance and reliability?
Trust,Reliable,Performance,Latency Optimization,"Optimize reports. Ensure each report serves a single, specific purpose. Clearly identify the audience and purpose of every report in your system. In reports, include only the minimum amount of data that audience members need to make decisions. Removing columns that don�t align to a report�s purpose will improve report performance by reducing the amount of data that needs to be retrieved and displayed.",Are reports optimized by including minimum audience members?
Trust,Reliable,Performance,Latency Optimization,"Optimize filters. Effective filters speed up report and list view performance by accurately scoping the number of rows that are retrieved from the database. As a general rule, the more specific you make your filter logic, the more efficient the underlying query for data will be. Ways to optimize filters include:",Use equals/not equal instead of contains/does not contain
Trust,Reliable,Performance,Latency Optimization,"Optimize filters. Effective filters speed up report and list view performance by accurately scoping the number of rows that are retrieved from the database. As a general rule, the more specific you make your filter logic, the more efficient the underlying query for data will be. Ways to optimize filters include:",Are filters optimized?
Trust,Reliable,Performance,Latency Optimization,"Optimize filters. Effective filters speed up report and list view performance by accurately scoping the number of rows that are retrieved from the database. As a general rule, the more specific you make your filter logic, the more efficient the underlying query for data will be. Ways to optimize filters include:","Is your sharing model simplified with specific filter logic? An overly complex sharing model can slow down a variety of processes, because the system has to check the sharing and visibility model to determine if a user has access to the data to be displayed or processed. Complex sharing calculations can increase latency in reporting, list views, and automations running in user context. For more on how to improve sharing models, see Sharing and Visibility."
Trust,Reliable,Performance,Latency Optimization,"Optimize custom UI components. Custombuilt user interface (UI) components can increase latency. To optimize performance in custom UI components, consider:","Have you utilized Lightning Web Components (LWC)? The LWC framework is closely aligned to modern web standards. Custom components written in LWC will render more efficiently in web browsers and enable developers to use more performant JavaScript methods. Always prefer LWC to older UI technologies, such as Aura or Visualforce."
Trust,Reliable,Performance,Latency Optimization,"Optimize custom UI components. Custombuilt user interface (UI) components can increase latency. To optimize performance in custom UI components, consider:","Has Lightning Data Service been utilized to handle the creation and maintenance of secure, performant, and shared caching across components and avoid unnecessary roundtrips to the server for data � and increase overall application responsiveness?"
